loci,chi^2,df,Pr(chi^2 >),Pr.exact
9140:13:-,14.13268226,1,0.000170358,0
9140:19:-,12.20096154,1,0.000477649,0
9140:35:-,34.51851869,1,4.22E-09,0
9140:74:-,4.539759347,1,0.033116247,0.024
9140:99:-,12.20096154,1,0.000477649,0
9140:118:-,0.376104534,1,0.539695433,0.595
9140:126:-,30.28178289,1,3.74E-08,0
9140:127:-,37.25083489,1,1.04E-09,0
9188:93:-,14.25390009,1,0.000159729,0.002
9188:250:-,8.991521186,1,0.002712351,0.002
9188:277:-,3.07195216,1,0.079653767,0.099
9934:9:-,33.87601333,1,5.87E-09,0
9934:39:-,10.20804043,1,0.001398297,0.006
9934:55:-,41.23666518,1,1.35E-10,0
9934:62:-,23.7678745,1,1.09E-06,0
9934:72:-,48.13488332,1,3.98E-12,0
9934:80:-,175.345913,1,0,0
9934:106:-,36.68314,1,1.39E-09,0
9934:116:-,43.2602045,1,4.79E-11,0
9934:132:-,47.60767972,1,5.21E-12,0
10461:23:+,18.3761234,1,1.81E-05,0
10461:39:+,12.26999954,1,0.000460298,0
11717:46:+,171.8259274,1,0,0
11717:66:+,30.09045169,1,4.12E-08,0
11717:75:+,218.801256,1,0,0
11717:109:+,175.4343496,1,0,0
11717:114:+,30.09045169,1,4.12E-08,0.001
11768:13:-,106.2142487,1,0,0
11768:22:-,235.2881871,1,0,0
11768:54:-,74.36318964,1,0,0
11768:59:-,233.9972173,1,0,0
11768:115:-,79.5412306,1,0,0
11768:134:-,258.4611382,1,0,0
11768:136:-,165.8063524,1,0,0
12256:15:+,16.29984679,1,5.41E-05,0
12256:23:+,59.22710118,1,1.41E-14,0
12256:38:+,61.75204274,1,3.89E-15,0
12256:59:+,39.62606945,1,3.08E-10,0
12256:64:+,18.03119835,1,2.17E-05,0
12256:73:+,49.88378535,1,1.63E-12,0
12256:77:+,15.41850897,1,8.61E-05,0.001
12256:113:+,16.29984679,1,5.41E-05,0
12256:131:+,47.95957225,1,4.35E-12,0
12303:11:-,34.52139205,1,4.22E-09,0
12303:86:-,8.01267759,1,0.004645101,0.01
12303:150:-,6.49778429,1,0.010800901,0.037
12303:153:-,34.59533637,1,4.06E-09,0
12303:163:-,7.933395292,1,0.004853065,0.008
12557:13:+,25.90829782,1,3.58E-07,0.001
12557:42:+,32.11111111,1,1.46E-08,0
12557:129:+,18.40223846,1,1.79E-05,0
12562:11:-,30.23453683,1,3.83E-08,0
12562:24:-,102.9177638,1,0,0
12562:50:-,81.5175465,1,0,0
12562:59:-,106.9575836,1,0,0
12562:84:-,84.28921599,1,0,0
12562:89:-,66.24905673,1,4.44E-16,0
12691:36:+,68.55550724,1,1.11E-16,0
12691:105:+,55.41090235,1,9.78E-14,0
12691:114:+,68.42149253,1,1.11E-16,0
12691:148:+,60.93806769,1,5.88E-15,0
12691:153:+,5.856996102,1,0.015515251,0.04
12691:194:+,67.72391307,1,2.22E-16,0
12691:198:+,28.79436216,1,8.05E-08,0
12943:32:-,28.49307328,1,9.40E-08,0
12943:65:-,5.878591566,1,0.015326077,0.03
12943:80:-,23.63173092,1,1.17E-06,0
12943:93:-,85.27515288,1,0,0
12943:120:-,93.93573131,1,0,0
12943:121:-,62.46538272,1,2.66E-15,0
12943:125:-,67.45918252,1,2.22E-16,0
12943:159:-,58.54318577,1,1.99E-14,0
12943:244:-,96.74904926,1,0,0
12943:245:-,59.32547599,1,1.33E-14,0
12964:22:+,4.451163454,1,0.034877477,0.042
12964:34:+,8.820966958,1,0.002977888,0.012
12964:77:+,66.97492135,1,2.22E-16,0
12964:117:+,113.1419424,1,0,0
12964:122:+,90.70342735,1,0,0
12964:177:+,26.75814638,1,2.31E-07,0
12964:201:+,19.14940463,1,1.21E-05,0
12964:202:+,38.11059472,1,6.68E-10,0
13075:11:+,180.5726942,1,0,0
13075:199:+,214.0857828,1,0,0
13075:219:+,48.79327416,1,2.84E-12,0
13109:57:+,73.98491185,1,0,0
13109:76:+,77.52197803,1,0,0
13109:226:+,85.9306335,1,0,0
13109:243:+,72.40520006,1,0,0
13109:248:+,83.73728966,1,0,0
13109:253:+,72.03257121,1,0,0
13109:274:+,79.48056094,1,0,0
15075:15:-,5.120295247,1,0.023647593,0.021
15075:88:-,166.1184464,1,0,0
15075:98:-,18.47626331,1,1.72E-05,0.001
15075:136:-,166.1184464,1,0,0
15154:61:-,2.020228174,1,0.155215816,0.138
15154:83:-,1.046071067,1,0.306413694,0.284
15154:96:-,4.797911475,1,0.028494259,0.054
15154:111:-,10.45041676,1,0.001226218,0.001
15219:11:+,37.90414161,1,7.43E-10,0
15219:19:+,96.74477088,1,0,0
15219:31:+,38.28791474,1,6.10E-10,0
15219:46:+,38.84997501,1,4.58E-10,0
15219:55:+,23.7794615,1,1.08E-06,0.001
15219:128:+,40.83543057,1,1.66E-10,0
15219:146:+,99.01105807,1,0,0
15219:157:+,125.2405708,1,0,0
15219:160:+,53.61874673,1,2.43E-13,0
15219:170:+,66.38203255,1,3.33E-16,0
15219:176:+,101.6448559,1,0,0
15219:177:+,50.60065444,1,1.13E-12,0
15219:179:+,49.40449254,1,2.08E-12,0
15219:198:+,34.4961814,1,4.27E-09,0
15264:11:+,76.03262763,1,0,0
15468:74:+,184.3480932,1,0,0
15468:110:+,20.29491268,1,6.64E-06,0
15468:112:+,198.1092394,1,0,0
15468:217:+,54.94587745,1,1.24E-13,0
15468:279:+,206.7424803,1,0,0
15468:285:+,213.2819052,1,0,0
15634:33:+,77.64546944,1,0,0
15634:61:+,75.08805451,1,0,0
15634:63:+,160.8046491,1,0,0
15807:119:+,32.32425315,1,1.30E-08,0
15807:135:+,76.69015435,1,0,0
15807:190:+,23.43746018,1,1.29E-06,0
15807:192:+,23.1978202,1,1.46E-06,0
15807:206:+,23.1978202,1,1.46E-06,0
15870:67:+,72.66426047,1,0,0
15870:104:+,33.16220871,1,8.48E-09,0
15870:111:+,74.89096617,1,0,0
15870:126:+,45.33058941,1,1.66E-11,0
15870:237:+,196.7193839,1,0,0
15870:329:+,52.55161673,1,4.19E-13,0
15962:18:+,11.18895568,1,0.000822856,0.006
15962:20:+,11.18895568,1,0.000822856,0.011
15962:64:+,11.18895568,1,0.000822856,0.008
15962:65:+,134.3209332,1,0,0
15962:68:+,23.9122201,1,1.01E-06,0
15962:102:+,28.25387763,1,1.06E-07,0
15962:116:+,24.45958423,1,7.59E-07,0
15962:123:+,26.09109212,1,3.26E-07,0
15962:177:+,94.78125022,1,0,0
15962:178:+,111.0524246,1,0,0
15962:191:+,84.39590397,1,0,0
15962:201:+,36.66488418,1,1.40E-09,0
15962:245:+,80.95253721,1,0,0
15962:246:+,78.56486313,1,0,0
15962:249:+,75.34335612,1,0,0
15962:255:+,67.47806594,1,2.22E-16,0
15962:264:+,148.0017007,1,0,0
15962:297:+,139.0345956,1,0,0
16168:7:+,18.69040051,1,1.54E-05,0
16168:9:+,20.61057256,1,5.63E-06,0
16168:52:+,7.458246427,1,0.006314649,0.017
16168:58:+,160.5522485,1,0,0
16168:93:+,23.7423084,1,1.10E-06,0
16168:104:+,114.4164639,1,0,0
16168:111:+,23.32176428,1,1.37E-06,0
16462:69:-,16.8198663,1,4.11E-05,0
16462:130:-,27.02440022,1,2.01E-07,0
16588:96:-,180.215945,1,0,0
16588:111:-,167.8271461,1,0,0
16588:130:-,157.7118574,1,0,0
17158:108:-,50.1301677,1,1.44E-12,0
17158:110:-,4.198947496,1,0.040449077,0.044
17163:23:+,5.179789712,1,0.022851089,0.043
17163:41:+,12.51167938,1,0.000404416,0.001
17163:48:+,12.94145526,1,0.000321385,0.002
17163:109:+,7.923721104,1,0.004879082,0.016
17620:12:-,42.35214197,1,7.62E-11,0
17620:104:-,20.96709129,1,4.67E-06,0.001
17620:209:-,17.32230487,1,3.15E-05,0
17620:212:-,50.19238353,1,1.39E-12,0
18067:35:+,185.9984349,1,0,0
18067:111:+,104.2362709,1,0,0
18530:6:-,219.5682525,1,0,0
18530:8:-,155.4259123,1,0,0
18530:71:-,183.3487654,1,0,0
18530:84:-,6.521867842,1,0.010655604,0.023
18530:111:-,65.7578007,1,5.55E-16,0
18800:29:+,31.06837945,1,2.49E-08,0
18800:56:+,6.77094522,1,0.009265375,0.026
18800:87:+,20.28001634,1,6.69E-06,0.002
19374:13:-,35.00148141,1,3.29E-09,0
19374:25:-,43.94236105,1,3.38E-11,0
19374:31:-,44.11105727,1,3.10E-11,0
19374:240:-,61.53126088,1,4.33E-15,0
19374:254:-,6.059619739,1,0.013830746,0.044
19374:255:-,39.91941397,1,2.65E-10,0
19374:278:-,57.98493601,1,2.64E-14,0
19374:283:-,111.9663488,1,0,0
19374:302:-,57.80391613,1,2.90E-14,0
19374:312:-,6.059619739,1,0.013830746,0.042
19374:348:-,58.42631263,1,2.11E-14,0
19374:359:-,55.98856022,1,7.29E-14,0
19374:360:-,27.85039247,1,1.31E-07,0
19374:369:-,50.56567026,1,1.15E-12,0
19374:373:-,35.14264031,1,3.06E-09,0
19556:10:+,52.28021689,1,4.81E-13,0
19556:13:+,34.65359963,1,3.94E-09,0
19556:48:+,39.55553778,1,3.19E-10,0
19556:120:+,96.40021798,1,0,0
19556:157:+,31.35897618,1,2.14E-08,0
19556:161:+,53.46175858,1,2.64E-13,0
19556:176:+,66.03296818,1,4.44E-16,0
19556:233:+,75.96710099,1,0,0
19556:251:+,57.66299325,1,3.11E-14,0
19601:100:+,15.2092484,1,9.62E-05,0
19601:139:+,10.31643806,1,0.001318505,0.001
19601:165:+,3.788904289,1,0.051593412,0.084
19601:182:+,3.703703704,1,0.054291828,0.073
19601:195:+,182.5709887,1,0,0
19601:196:+,219.6263707,1,0,0
19707:22:-,16.74345837,1,4.28E-05,0
19812:16:+,0.74150801,1,0.389178237,0.687
19812:56:+,33.30151286,1,7.89E-09,0
19812:84:+,4.173539801,1,0.04105993,0.064
19812:92:+,7.799011303,1,0.005227483,0.007
19812:98:+,14.2996788,1,0.000155891,0
19812:99:+,14.48516367,1,0.000141268,0
19812:102:+,10.07479778,1,0.001503111,0.007
20035:44:+,15.42967901,1,8.56E-05,0.002
20035:74:+,1.619834711,1,0.203114836,0.25
20035:111:+,121.1441426,1,0,0
20035:120:+,153.033139,1,0,0
20035:126:+,165.0929636,1,0,0
20035:171:+,42.5979009,1,6.72E-11,0
20035:186:+,71.29930705,1,0,0
20035:198:+,30.24697815,1,3.80E-08,0
20035:200:+,149.6506603,1,0,0
20035:218:+,10.16212662,1,0.001433552,0.008
20035:225:+,30.5024775,1,3.33E-08,0
20435:34:+,3.170506653,1,0.074979184,0.096
20435:83:+,20.53190986,1,5.86E-06,0.002
20435:101:+,6.433084188,1,0.011201391,0.027
20435:119:+,2.291377861,1,0.130094388,0.137
20435:157:+,34.05089182,1,5.37E-09,0
20435:190:+,9.322416869,1,0.002263672,0.015
20435:194:+,142.7783203,1,0,0
20435:236:+,39.75411518,1,2.88E-10,0
20485:73:+,10.19044899,1,0.001411699,0.011
20485:94:+,9.447857125,1,0.002113959,0.013
20485:138:+,37.9384844,1,7.30E-10,0
21767:6:-,1.773919753,1,0.182897722,0.187
21767:95:-,172.1272242,1,0,0
21767:116:-,175.9599965,1,0,0
21767:134:-,54.17607157,1,1.83E-13,0
22528:17:-,14.3761303,1,0.000149688,0.001
22528:51:-,13.08010648,1,0.000298448,0.001
22528:70:-,7.165679777,1,0.007431152,0.013
22528:118:-,4.299775227,1,0.038117411,0.065
22528:190:-,1.878514698,1,0.170503058,0.193
22528:199:-,39.17959847,1,3.87E-10,0
22528:211:-,184.8459808,1,0,0
22528:241:-,12.8493361,1,0.000337599,0
22528:255:-,8.30698408,1,0.003949292,0.011
22866:68:+,10.82888542,1,0.000999288,0
22866:86:+,84.83181843,1,0,0
22866:95:+,73.50832195,1,0,0
22866:206:+,9.084655056,1,0.002577631,0.005
22866:294:+,89.74047319,1,0,0
22866:303:+,89.35069492,1,0,0
22866:304:+,85.06053762,1,0,0
22866:308:+,49.67731313,1,1.81E-12,0
22866:309:+,49.67731313,1,1.81E-12,0
22866:310:+,49.67731313,1,1.81E-12,0
23598:25:+,48.67315152,1,3.02E-12,0
23598:30:+,39.32714729,1,3.58E-10,0
23598:32:+,67.22615897,1,2.22E-16,0
23598:38:+,66.49056568,1,3.33E-16,0
23598:60:+,65.05417168,1,7.77E-16,0
23598:62:+,61.22271248,1,5.11E-15,0
23598:66:+,48.63731272,1,3.08E-12,0
23598:90:+,61.88449672,1,3.66E-15,0
23598:118:+,57.95113841,1,2.69E-14,0
23598:121:+,33.72847666,1,6.34E-09,0
23779:53:-,19.34190441,1,1.09E-05,0
23779:62:-,161.522768,1,0,0
23779:67:-,152.2614104,1,0,0
23779:71:-,15.85347228,1,6.84E-05,0.003
23779:73:-,24.97463415,1,5.81E-07,0
23779:100:-,116.3137671,1,0,0
23779:101:-,116.3137671,1,0,0
23779:107:-,168.1353037,1,0,0
23779:121:-,23.7423084,1,1.10E-06,0
23779:132:-,113.9843952,1,0,0
23950:44:-,43.35057692,1,4.58E-11,0
23950:86:-,34.52894142,1,4.20E-09,0
23950:88:-,35.81546643,1,2.17E-09,0
23950:122:-,43.88831995,1,3.48E-11,0
23950:135:-,10.70261007,1,0.001069845,0.013
23950:138:-,14.75476382,1,0.000122438,0.003
24075:34:+,91.56112375,1,0,0
24075:35:+,60.01630557,1,9.44E-15,0
24075:95:+,23.83142112,1,1.05E-06,0
24075:102:+,43.31045674,1,4.67E-11,0
24075:112:+,30.91609722,1,2.69E-08,0
24075:130:+,32.57347658,1,1.15E-08,0
24075:224:+,73.02138457,1,0,0
24075:232:+,26.92521327,1,2.11E-07,0
24075:244:+,27.97602988,1,1.23E-07,0
24075:257:+,46.30785952,1,1.01E-11,0
24075:258:+,16.21505669,1,5.65E-05,0.002
24075:261:+,21.17913333,1,4.18E-06,0
24075:300:+,25.06780785,1,5.53E-07,0
24075:310:+,67.6040564,1,2.22E-16,0
24383:27:+,54.61910224,1,1.46E-13,0
24383:41:+,10.78152222,1,0.001025183,0.008
24383:55:+,33.19765864,1,8.33E-09,0
24383:59:+,34.49908251,1,4.26E-09,0
24383:94:+,48.36969808,1,3.53E-12,0
24383:96:+,45.38778186,1,1.62E-11,0
25394:55:-,227.8360767,1,0,0
25394:70:-,221.4231625,1,0,0
25394:81:-,227.8360767,1,0,0
25394:98:-,36.61231184,1,1.44E-09,0
25394:118:-,62.67932369,1,2.44E-15,0
25394:123:-,65.18462457,1,6.66E-16,0
25394:131:-,85.23611111,1,0,0
25394:133:-,39.22737738,1,3.77E-10,0
25394:136:-,227.0158552,1,0,0
28370:86:+,68.07669421,1,1.11E-16,0
28370:89:+,94.58094326,1,0,0
28370:184:+,97.11760204,1,0,0
28370:239:+,77.22711274,1,0,0
28385:81:-,182.8642537,1,0,0
28385:82:-,182.8642537,1,0,0
28385:88:-,193.5414749,1,0,0
28385:93:-,37.88740017,1,7.49E-10,0
28385:117:-,0.485548106,1,0.485919942,0.458
28385:131:-,197.868626,1,0,0
30767:11:-,113.9830732,1,0,0
30776:7:+,155.8335964,1,0,0
30776:25:+,16.41174945,1,5.10E-05,0.001
30776:37:+,2.203763265,1,0.137674268,0.15
30776:49:+,0,1,1,1
30776:249:+,11.51786158,1,0.000689306,0.006
30776:287:+,12.61122605,1,0.000383437,0.006
31554:63:-,81.15340909,1,0,0
31554:82:-,221.952204,1,0,0
31554:83:-,92.66556034,1,0,0
31554:88:-,63.91505493,1,1.33E-15,0
31554:99:-,108.6889889,1,0,0
